Duration (in seconds),Finished,consent_1,self_tipi_1_1,self_tipi_2_1,self_tipi_3_1,self_tipi_4_1,self_tipi_5_1,self_tipi_6_1,self_tipi_7_1,self_tipi_8_1,self_tipi_9_1,self_tipi_10_1,Q150_First Click,Q150_Last Click,Q150_Page Submit,Q150_Click Count,self_ittp_O1_1,self_ittp_O2_1,self_ittp_O3_1,self_ittp_O4_1,self_ittp_C1_1,self_ittp_C2_1,self_ittp_C3_1,self_ittp_C4_1,self_ittp_E1_1,self_ittp_E2_1,self_ittp_E3_1,self_ittp_E4_1,self_ittp_A1_1,self_ittp_A2_1,self_ittp_A3_1,self_ittp_A4_1,self_ittp_N1_1,self_ittp_N2_1,self_ittp_N3_1,self_ittp_N4_1,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,self_mon1_1,self_mon2_1,self_mon3_1,self_mon4_1,self_mon5_1,self_mon6_1,self_mon7_1,self_mon8_1,self_mon9_1,self_mon10_1,self_mon11_1,self_mon12_1,self_mon13_1,Q171_First Click,Q171_Last Click,Q171_Page Submit,Q171_Click Count,targets_1,targets_19,targets_20,targets_21,targets_2,targets_22,targets_23,targets_24,Q151_First Click,Q151_Last Click,Q151_Page Submit,Q151_Click Count,tar_tipi_1_1,tar_tipi_1_2,tar_tipi_1_3,tar_tipi_1_4,tar_tipi_1_5,tar_tipi_1_6,tar_tipi_1_7,tar_tipi_1_8,tar_tipi_2_1,tar_tipi_2_2,tar_tipi_2_3,tar_tipi_2_4,tar_tipi_2_5,tar_tipi_2_6,tar_tipi_2_7,tar_tipi_2_8,tar_tipi_3_1,tar_tipi_3_2,tar_tipi_3_3,tar_tipi_3_4,tar_tipi_3_5,tar_tipi_3_6,tar_tipi_3_7,tar_tipi_3_8,tar_tipi_4_1,tar_tipi_4_2,tar_tipi_4_3,tar_tipi_4_4,tar_tipi_4_5,tar_tipi_4_6,tar_tipi_4_7,tar_tipi_4_8,tar_tipi_5_1,tar_tipi_5_2,tar_tipi_5_3,tar_tipi_5_4,tar_tipi_5_5,tar_tipi_5_6,tar_tipi_5_7,tar_tipi_5_8,tar_tipi_6_1,tar_tipi_6_2,tar_tipi_6_3,tar_tipi_6_4,tar_tipi_6_5,tar_tipi_6_6,tar_tipi_6_7,tar_tipi_6_8,tar_tipi_7_1,tar_tipi_7_2,tar_tipi_7_3,tar_tipi_7_4,tar_tipi_7_5,tar_tipi_7_6,tar_tipi_7_7,tar_tipi_7_8,tar_tipi_8_1,tar_tipi_8_2,tar_tipi_8_3,tar_tipi_8_4,tar_tipi_8_5,tar_tipi_8_6,tar_tipi_8_7,tar_tipi_8_8,tar_tipi_9_1,tar_tipi_9_2,tar_tipi_9_3,tar_tipi_9_4,tar_tipi_9_5,tar_tipi_9_6,tar_tipi_9_7,tar_tipi_9_8,tar_tipi_10_1,tar_tipi_10_2,tar_tipi_10_3,tar_tipi_10_4,tar_tipi_10_5,tar_tipi_10_6,tar_tipi_10_7,tar_tipi_10_8,Q152_First Click,Q152_Last Click,Q152_Page Submit,Q152_Click Count,tar_ittp_O1_1,tar_ittp_O1_2,tar_ittp_O1_3,tar_ittp_O1_4,tar_ittp_O1_5,tar_ittp_O1_6,tar_ittp_O1_7,tar_ittp_O1_8,tar_ittp_O2_1,tar_ittp_O2_2,tar_ittp_O2_3,tar_ittp_O2_4,tar_ittp_O2_5,tar_ittp_O2_6,tar_ittp_O2_7,tar_ittp_O2_8,tar_ittp_O3_1,tar_ittp_O3_2,tar_ittp_O3_3,tar_ittp_O3_4,tar_ittp_O3_5,tar_ittp_O3_6,tar_ittp_O3_7,tar_ittp_O3_8,tar_ittp_O4_1,tar_ittp_O4_2,tar_ittp_O4_3,tar_ittp_O4_4,tar_ittp_O4_5,tar_ittp_O4_6,tar_ittp_O4_7,tar_ittp_O4_8,tar_ittp_C1_1,tar_ittp_C1_2,tar_ittp_C1_3,tar_ittp_C1_4,tar_ittp_C1_5,tar_ittp_C1_6,tar_ittp_C1_7,tar_ittp_C1_8,tar_ittp_C2_1,tar_ittp_C2_2,tar_ittp_C2_3,tar_ittp_C2_4,tar_ittp_C2_5,tar_ittp_C2_6,tar_ittp_C2_7,tar_ittp_C2_8,tar_ittp_C3_1,tar_ittp_C3_2,tar_ittp_C3_3,tar_ittp_C3_4,tar_ittp_C3_5,tar_ittp_C3_6,tar_ittp_C3_7,tar_ittp_C3_8,tar_ittp_C4_1,tar_ittp_C4_2,tar_ittp_C4_3,tar_ittp_C4_4,tar_ittp_C4_5,tar_ittp_C4_6,tar_ittp_C4_7,tar_ittp_C4_8,tar_ittp_E1_1,tar_ittp_E1_2,tar_ittp_E1_3,tar_ittp_E1_4,tar_ittp_E1_5,tar_ittp_E1_6,tar_ittp_E1_7,tar_ittp_E1_8,tar_ittp_E2_1,tar_ittp_E2_2,tar_ittp_E2_3,tar_ittp_E2_4,tar_ittp_E2_5,tar_ittp_E2_6,tar_ittp_E2_7,tar_ittp_E2_8,tar_ittp_E3_1,tar_ittp_E3_2,tar_ittp_E3_3,tar_ittp_E3_4,tar_ittp_E3_5,tar_ittp_E3_6,tar_ittp_E3_7,tar_ittp_E3_8,tar_ittp_E4_1,tar_ittp_E4_2,tar_ittp_E4_3,tar_ittp_E4_4,tar_ittp_E4_5,tar_ittp_E4_6,tar_ittp_E4_7,tar_ittp_E4_8,tar_ittp_A1_1,tar_ittp_A1_2,tar_ittp_A1_3,tar_ittp_A1_4,tar_ittp_A1_5,tar_ittp_A1_6,tar_ittp_A1_7,tar_ittp_A1_8,tar_ittp_A2_1,tar_ittp_A2_2,tar_ittp_A2_3,tar_ittp_A2_4,tar_ittp_A2_5,tar_ittp_A2_6,tar_ittp_A2_7,tar_ittp_A2_8,tar_ittp_A3_1,tar_ittp_A3_2,tar_ittp_A3_3,tar_ittp_A3_4,tar_ittp_A3_5,tar_ittp_A3_6,tar_ittp_A3_7,tar_ittp_A3_8,tar_ittp_A4_1,tar_ittp_A4_2,tar_ittp_A4_3,tar_ittp_A4_4,tar_ittp_A4_5,tar_ittp_A4_6,tar_ittp_A4_7,tar_ittp_A4_8,tar_ittp_N1_1,tar_ittp_N1_2,tar_ittp_N1_3,tar_ittp_N1_4,tar_ittp_N1_5,tar_ittp_N1_6,tar_ittp_N1_7,tar_ittp_N1_8,tar_ittp_N2_1,tar_ittp_N2_2,tar_ittp_N2_3,tar_ittp_N2_4,tar_ittp_N2_5,tar_ittp_N2_6,tar_ittp_N2_7,tar_ittp_N2_8,tar_ittp_N3_1,tar_ittp_N3_2,tar_ittp_N3_3,tar_ittp_N3_4,tar_ittp_N3_5,tar_ittp_N3_6,tar_ittp_N3_7,tar_ittp_N3_8,tar_ittp_N4_1,tar_ittp_N4_2,tar_ittp_N4_3,tar_ittp_N4_4,tar_ittp_N4_5,tar_ittp_N4_6,tar_ittp_N4_7,tar_ittp_N4_8,Q153_First Click,Q153_Last Click,Q153_Page Submit,Q153_Click Count,similarity_1,similarity_2,similarity_3,similarity_4,similarity_5,similarity_6,similarity_7,similarity_8,similarity_9,similarity_10,similarity_11,similarity_12,similarity_13,similarity_14,similarity_15,similarity_16,similarity_17,similarity_18,similarity_19,similarity_20,similarity_21,similarity_22,similarity_23,similarity_24,similarity_25,similarity_26,similarity_27,similarity_28,similarity_29,similarity_30,similarity_31,similarity_32,similarity_33,similarity_34,similarity_35,similarity_36,Q154_First Click,Q154_Last Click,Q154_Page Submit,Q154_Click Count
66,TRUE,1,,,,,,,,,,,0,0,3.645,0,,,,,,,,,,,,,,,,,,,,,0,0,4.492,0,,,,,,,,,,,,,,0.88,4.649,8.454,2,1,2,3,4,5,6,7,8,1.26,1.26,6.068,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.768,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.569,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.595,0
2454,TRUE,1,3,6,5,1,6,5,2,1,6,1,2.453,30.185,31.032,14,4,5,2,5,1,4,4,2,1,4,1,2,5,1,1,5,3,1,4,5,4.939,203.566,203.87,200,5,3,4,5,4,2,5,5,3,4,1,1,5,1.32,111.041,112.776,83,Jun,Ghim,Taylor,Hami,Ina,Kroni,Gura,Fauna,14.968,198.776,203.736,5,1,3,1,5,3,7,5,7,7,1,6,2,6,7,6,4,5,7,1,2,1,2,1,7,1,1,1,7,2,3,6,5,6,2,1,3,7,7,6,7,6,7,3,1,1,6,2,5,1,7,1,5,1,2,5,7,5,1,7,3,5,6,7,1,5,7,2,5,2,5,1,7,3,1,7,6,6,5,2,2,6.225,306.109,308.163,186,4,1,5,2,4,2,4,1,4,1,5,5,5,5,4,2,4,1,4,5,4,4,1,1,2,1,3,5,1,2,2,1,1,1,1,3,3,2,4,1,4,3,4,5,5,5,5,4,4,4,1,2,2,4,2,5,1,1,1,4,1,4,1,4,1,1,1,4,2,2,3,1,5,3,5,2,5,4,3,2,1,1,1,3,1,4,3,4,2,4,2,3,1,4,4,4,5,5,5,5,5,4,5,3,1,1,1,5,1,4,4,1,1,2,1,5,1,5,4,4,5,5,5,5,5,5,5,5,1,1,1,2,1,1,1,1,1,2,1,2,1,3,4,4,1,3,1,5,5,5,5,5,5,5,5,2,5,5,5,5,6.701,1252.871,1257.512,437,5,5,2,3,3,4,2,2,1,1,2,1,5,1,5,2,2,1,5,1,2,1,2,2,1,5,5,4,5,5,4,1,3,3,3,4,4.636,130.771,131.801,58
2298,TRUE,1,6,5,5,3,5,3,4,2,3,4,12.004,64.719,66.841,12,4,4,3,3,3,3,4,4,3,5,4,4,4,5,5,5,4,4,4,5,3.351,331.579,334.357,22,4,4,4,4,4,3,3,3,2,4,2,3,4,62.663,170.244,171.142,17,Melissa Y,Henry C,Jessie W,Hong W,Angela W,Mia H,Cathy W,Noelle L,37.602,473.631,482.887,12,4,5,4,4,4,4,4,6,3,2,3,3,4,3,3,4,6,5,5,4,5,5,4,5,3,3,4,4,3,3,4,3,5,5,5,4,5,4,4,6,4,4,3,4,3,4,4,2,4,5,4,4,4,5,4,4,3,3,4,5,5,3,5,5,4,5,4,3,3,4,4,3,5,4,4,5,4,5,5,3,15.083,408.46,415.729,96,4,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,3,3,3,3,3,4,3,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,4,4,4,4,3,4,17.676,462.093,474.009,195,2,1,2,3,2,2,1,1,1,1,2,1,2,1,3,1,1,3,3,2,2,1,1,1,2,3,2,2,4,4,4,2,3,2,2,2,8.912,180.726,182.516,42
5762,TRUE,1,6,7,3,6,7,4,6,6,2,3,4.813,149.061,150.314,26,4,5,3,1,1,4,1,5,1,4,3,4,4,5,5,5,5,5,5,4,16.558,836.813,838.53,21,4,4,4,3,4,3,4,4,4,3,2,3,4,78.601,186.327,187.166,15,Steven L,Vivian C,Cyrus C,Bonnie H,Quintin L,James C,Amber Lee,Cathy Lee,22.641,189.112,213.062,18,6,6,7,2,2,3,3,5,7,6,7,5,5,6,4,3,6,3,4,3,6,6,6,7,7,3,3,5,4,5,2,2,7,7,7,3,3,3,4,2,5,1,1,7,6,6,6,6,2,5,5,6,7,5,6,7,7,6,7,7,6,1,4,1,1,3,3,2,3,5,4,7,6,3,3,3,5,6,6,7,142.887,712.091,713.029,98,5,2,4,4,4,4,2,1,5,2,4,4,4,2,3,1,3,2,2,2,3,4,2,2,5,2,4,2,2,2,2,1,5,3,3,3,3,4,3,4,5,3,4,4,4,4,3,4,4,1,2,2,2,4,1,1,4,2,4,3,3,4,2,2,3,1,2,1,1,1,1,1,3,4,5,3,4,3,2,2,3,1,4,2,2,1,2,1,2,2,5,2,4,4,1,1,4,2,4,3,4,4,2,1,5,5,5,5,4,5,3,2,2,2,3,4,4,3,3,4,4,3,4,4,4,3,3,5,5,3,4,3,4,4,2,2,5,3,3,4,4,5,2,2,5,3,4,4,4,5,3,2,5,2,3,4,3,5,3,1,1095.534,2624.977,2625.781,188,2,3,1,1,3,1,1,4,3,1,1,2,1,2,2,2,2,1,5,2,2,2,1,2,1,2,1,3,5,3,4,3,2,2,2,1,9.526,799.159,799.621,40
969,TRUE,1,6,2,7,6,5,1,6,1,6,1,5.18,41.611,42.52,16,3,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,4,3,5,3,3.689,100.855,101.649,29,4,4,4,4,4,4,4,4,4,4,4,3,4,2.715,46.597,47.272,17,Jaydon,Dad,Alivia,Mom,Kennedy,Ella,Nidhi,Shan Shan,3.616,73.03,73.519,17,7,7,6,2,7,6,7,1,5,4,7,2,5,3,6,7,7,6,7,7,7,7,1,7,7,4,7,5,4,5,5,3,7,5,5,4,6,6,6,4,2,6,1,7,2,4,1,2,7,7,4,7,7,7,4,1,1,2,1,5,2,1,7,1,7,7,6,5,7,7,1,7,1,1,3,1,1,1,1,1,5.073,168.104,168.935,98,2,3,5,2,3,2,4,3,5,3,5,4,3,4,5,3,5,3,5,2,3,3,3,2,4,3,5,3,4,3,3,3,1,2,5,3,3,4,2,2,2,3,1,2,1,2,3,3,4,2,5,1,3,4,1,3,4,3,5,1,3,1,1,1,2,2,5,1,3,2,2,2,5,3,5,1,4,1,5,1,1,3,3,3,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,4,5,5,5,5,5,5,5,5,5,1,2,2,4,2,3,4,4,3,2,1,3,2,2,1,2,2,5,5,5,5,5,5,5,5,1,4,5,3,5,4,5,4,4.072,371.867,372.266,179,2,2,1,3,3,4,1,2,1,1,2,4,1,1,2,1,2,1,2,4,1,1,3,1,1,1,1,3,5,3,4,2,3,3,2,1,3.169,102.17,103.116,39
2334,TRUE,1,2,5,6,5,3,5,6,2,5,2,9.165,100.013,100.997,13,3,3,2,2,2,4,3,4,1,4,2,3,4,3,3,4,1,2,4,1,51.418,444.766,453.535,25,4,3,3,3,4,4,1,4,1,3,3,3,3,15.426,165.378,166.506,13,jason h,nate s,alyssa ,jasper a,barnes ,rick s,pete d,terry s,7.275,225.99,253.868,24,2,1,5,7,6,2,6,6,1,2,1,3,3,6,6,6,5,3,7,5,6,7,3,5,1,3,1,7,2,2,6,4,3,2,3,5,6,7,5,1,7,6,4,1,2,2,2,1,6,5,6,7,6,3,2,2,2,5,1,5,2,2,6,4,7,6,7,5,5,4,3,4,2,3,1,2,3,3,5,5,23.966,435.83,437.454,104,2,2,1,2,2,4,4,4,1,1,1,2,4,3,5,4,1,3,1,2,2,3,4,4,2,4,2,3,3,5,5,4,1,2,2,1,3,4,4,4,3,2,3,3,3,4,4,5,4,1,3,2,4,5,5,3,3,1,4,4,2,5,4,5,2,1,1,1,2,2,3,2,3,2,2,4,2,4,5,4,1,1,2,3,2,4,4,4,2,2,3,2,3,4,4,4,1,1,3,2,3,4,5,5,4,3,5,4,5,1,2,1,2,1,2,3,3,4,4,4,4,2,4,5,4,2,1,2,1,1,1,1,2,2,3,3,1,2,2,1,1,3,3,3,4,1,4,4,4,5,5,2,1,3,2,1,1,4,5,5,32.513,627.692,629.001,168,3,4,3,3,2,1,1,2,3,3,1,1,1,2,4,1,1,1,4,1,1,1,3,2,2,3,4,4,5,3,3,2,3,2,1,1,15.494,202.232,203.276,41
1341,TRUE,1,3,2,6,4,5,6,6,1,4,5,4.093,30.503,31.679,12,4,4,3,3,3,4,4,5,2,3,2,3,4,4,3,5,2,2,3,3,10.095,102.76,104.227,20,4,3,4,3,4,4,3,4,1,4,4,1,4,6.45,70.742,71.433,14,Dayna N,Heather M,Nelson L,Michelle B,Kaili C,Lois A,Anna C,Emily F,9.2,105.689,117.223,9,2,5,6,1,6,3,1,5,2,5,5,3,5,6,2,5,6,5,3,6,4,4,5,5,3,3,2,3,2,2,6,5,6,6,6,2,7,4,3,5,6,2,2,6,2,2,7,5,6,6,5,4,5,3,4,6,2,4,2,3,5,4,3,4,6,5,3,4,3,4,5,4,4,3,2,5,3,5,5,3,5.719,381.755,382.835,91,2,2,3,3,2,3,3,2,2,1,2,3,2,2,3,1,2,2,2,1,2,3,1,2,2,2,1,2,3,2,3,1,2,2,2,1,3,2,2,2,2,2,3,3,3,1,2,1,2,2,4,3,3,1,3,2,1,2,3,2,4,1,3,2,2,1,1,1,1,2,4,1,2,2,3,1,3,1,1,1,2,1,3,2,3,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,2,4,2,1,1,1,2,1,3,4,3,3,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,2,3,1,4,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,8.123,411.288,413.055,173,2,2,2,2,2,2,3,2,1,3,2,2,2,2,4,3,1,2,1,3,3,1,3,2,2,1,1,1,4,2,2,2,3,2,2,2,8.427,155.475,156.384,39
2536,TRUE,1,6,6,5,5,6,2,3,4,3,2,5.035,31.767,32.667,10,3,4,4,4,4,3,4,2,2,4,2,3,4,2,4,5,4,3,3,3,11.662,202.798,203.76,20,4,4,4,2,4,4,4,4,1,4,4,1,4,17.054,117.1,118.226,14,Conquistador ,Sue ,Jalpo ,Goopy ,Graber ,Burgerbutt,Earheart ,Nana,12.451,349.52,464.951,15,5,4,3,5,5,6,1,5,6,4,1,6,4,6,2,5,7,5,6,5,3,6,2,6,5,5,4,5,6,4,6,6,6,5,5,6,5,7,2,5,2,3,6,4,4,3,6,4,3,4,6,5,6,4,4,6,1,2,3,3,5,2,5,3,2,4,4,3,2,5,4,4,2,4,3,3,3,3,4,3,22.195,285.129,285.866,83,5,3,1,2,2,2,3,2,5,2,1,2,2,1,4,2,3,2,1,2,2,2,4,2,4,3,2,4,4,2,4,3,1,1,2,3,4,2,4,2,1,1,1,3,5,2,5,2,2,1,1,3,5,2,4,2,4,1,2,5,4,1,1,4,1,1,3,3,3,1,4,2,4,1,2,3,2,4,3,4,3,1,3,4,3,1,2,3,2,1,1,2,2,4,4,2,3,1,1,3,3,4,4,3,4,1,1,4,3,1,3,3,2,1,1,2,3,1,4,2,3,1,1,3,3,2,3,2,3,1,2,3,4,1,3,3,4,1,2,3,3,1,4,1,4,2,1,4,4,1,3,3,4,1,2,4,3,1,4,3,18.228,761.285,762.02,175,4,2,3,1,4,1,2,2,1,1,2,1,2,2,4,2,2,3,2,3,1,3,1,1,2,1,2,2,5,3,3,3,2,3,1,3,87.233,287.141,287.988,36
1002,TRUE,1,2,2,6,7,2,7,5,1,4,2,2.979,29.766,30.851,10,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,3,3,5,5,5.973,107.342,109.542,30,4,3,5,5,3,2,5,3,2,5,2,2,5,8.045,84.403,85.21,22,Court K,Mel B,Todd B,Luke B,Gav E,Maya K,Joe C,Chris A,12.659,106.409,113.874,17,6,2,7,2,2,2,2,2,2,5,1,6,6,2,1,5,7,5,7,7,1,7,7,7,1,7,4,4,3,2,2,5,6,5,5,5,1,2,5,2,1,5,1,4,6,5,2,5,6,3,6,4,2,6,5,2,1,2,2,1,7,1,1,1,7,1,1,5,5,6,5,5,2,4,2,2,4,2,2,2,7.973,224.47,225.332,100,1,2,1,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12.864,237.01,240.84,176,1,2,3,1,1,1,1,1,3,1,1,1,3,4,4,1,4,1,3,3,3,2,1,1,1,1,1,2,5,2,4,5,2,5,3,2,5.407,135.57,136.583,43
1411,TRUE,1,2,1,6,4,4,6,6,2,7,2,7.469,27.215,28.316,10,2,2,2,2,1,3,2,1,1,4,1,2,3,3,4,4,2,2,3,4,9.251,109.294,111.102,21,4,4,2,2,4,4,4,5,2,4,4,2,3,9.485,65.127,65.7,16,brother,dad,mom,grandpa s,vishwa,krish,aunt shilpa,brooke,2.32,170.024,192.897,16,4,5,4,7,6,5,7,6,3,3,2,6,7,2,6,6,3,2,7,7,5,2,6,5,4,4,2,4,3,4,3,6,4,6,6,7,7,4,7,6,6,4,4,1,1,5,1,3,7,4,7,7,5,7,6,4,5,4,4,1,5,4,2,4,5,3,7,3,4,4,2,2,4,4,4,3,4,4,4,4,7.849,236.673,239.154,93,3,1,1,4,1,2,4,4,2,3,1,4,2,1,4,4,1,1,1,1,1,1,1,2,2,2,4,5,2,2,5,4,1,1,5,3,3,1,5,1,3,3,2,2,3,3,3,3,1,2,4,4,2,3,4,2,2,2,3,3,3,1,3,2,1,1,4,4,4,1,4,1,2,2,2,3,4,2,2,4,1,1,4,4,4,1,4,1,1,1,4,5,4,1,5,2,2,2,3,3,3,2,3,3,3,2,4,5,4,1,5,5,2,2,3,3,3,2,3,3,2,2,5,5,4,2,5,3,1,1,3,3,2,1,3,3,2,2,2,2,2,2,2,2,2,2,3,5,2,2,5,3,2,2,1,2,3,1,2,3,11.645,502.054,504.319,210,3,3,2,2,4,2,1,2,3,2,3,1,1,2,2,3,1,1,3,1,3,4,2,2,2,2,1,4,5,3,4,2,2,4,2,2,12.012,150.233,151.571,39
